,,Community supervision ,,,,,Incarcerated/b,,,,
,,Number,,,"Rate per 100,000 U.S. residents of all ages/a",,Number,,,"Rate per 100,000 U.S. residents of all ages/a",
Jurisdiction,,Total/c,Male,Female,Male,Female,Total/d,Male ,Female,Male ,Female
,U.S. total,"4,713,200","3,655,300","1,057,900","2,320",650,"2,179,900","1,978,700","201,200","1,260",120
Federal/e,Federal/e,"128,400","104,800","23,500",70,10,"209,600","195,700","13,900",120,10
State,State,"4,584,800","3,550,500","1,034,300","2,250",640,"1,970,300","1,783,000","187,300","1,130",120
,Alabama/f,"61,400","48,400","13,000","2,060",520,"44,400","39,900","4,400","1,700",180
,Alaska,"9,300","7,500","1,800","1,930",510,"5,300","4,600",700,"1,190",190
,Arizona ,"80,700","64,600","16,100","1,920",470,"54,800","49,000","5,800","1,450",170
,Arkansas ,"49,300","37,700","11,600","2,580",770,"23,400","21,000","2,400","1,440",160
,California/f,"382,600","303,900","78,700","1,570",400,"210,000","194,000","15,900","1,000",80
,Colorado ,"89,100","66,700","22,400","2,450",830,"31,500","27,900","3,600","1,030",130
,Connecticut ,"45,600","36,100","9,600","2,060",520,"16,600","15,500","1,100",880,60
,Delaware ,"16,300","12,500","3,900","2,740",790,"7,000","6,400",600,"1,400",120
,District of Columbia ,"11,400","9,600","1,700","3,050",490,"1,600","1,500",100,490,30
,Florida ,"231,600","172,500","59,100","1,760",580,"153,800","138,800","15,000","1,410",150
,Georgia/g,"491,800","384,500","107,400","7,760","2,060","89,500","80,700","8,800","1,630",170
,Hawaii ,"22,500","17,100","5,400","2,370",760,"5,900","5,200",700,720,90
,Idaho ,"37,700","28,300","9,300","3,440","1,140","11,000","9,400","1,600","1,140",190
,Illinois ,"151,800","118,600","33,200","1,880",510,"67,200","62,400","4,800",990,70
,Indiana ,"128,100","97,700","30,400","3,000",910,"44,500","39,300","5,200","1,210",150
,Iowa ,"35,500","26,700","8,800","1,720",560,"12,700","11,400","1,300",730,80
,Kansas ,"20,400","16,000","4,400","1,100",300,"16,800","15,000","1,800","1,030",120
,Kentucky ,"70,800","49,800","21,000","2,290",940,"33,500","28,600","4,900","1,320",220
,Louisiana ,"70,600","56,400","14,200","2,470",600,"49,100","45,400","3,700","1,990",150
,Maine ,"6,600","5,300","1,300",810,190,"4,100","3,700",500,560,70
,Maryland/f,"91,100","74,900","16,200","2,580",520,"31,100","29,100","2,000","1,000",70
,Massachusetts ,"70,200","57,000","13,200","1,730",380,"20,300","19,100","1,200",580,40
,Michigan/f,"199,000","149,900","49,100","3,070",970,"59,400","54,900","4,500","1,130",90
,Minnesota ,"104,300","80,800","23,500","2,970",850,"16,200","14,700","1,500",540,60
,Mississippi ,"44,300","35,100","9,200","2,410",600,"25,400","23,100","2,300","1,590",150
,Missouri ,"65,800","50,700","15,100","1,700",490,"42,700","38,000","4,700","1,280",150
,Montana ,"9,700","7,500","2,200","1,460",430,"5,500","4,800",700,920,140
,Nebraska ,"14,000","10,200","3,800","1,090",400,"8,500","7,600",900,810,100
,Nevada ,"18,000","14,200","3,800",980,270,"19,300","17,000","2,200","1,180",160
,New Hampshire ,"6,300","5,000","1,300",760,190,"4,900","4,300",600,660,80
,New Jersey ,"130,800","105,800","25,000","2,420",550,"35,200","32,900","2,300",750,50
,New Mexico ,"18,100","13,400","4,700","1,290",450,"14,300","12,600","1,800","1,210",170
,New York ,"149,100","123,600","25,500","1,290",250,"77,500","72,700","4,700",760,50
,North Carolina ,"99,300","74,600","24,700","1,530",480,"54,000","49,200","4,800","1,010",90
,North Dakota ,"6,200","4,600","1,600","1,190",440,"3,200","2,800",400,720,120
,Ohio ,"256,200","188,500","67,700","3,320","1,140","69,100","61,800","7,300","1,090",120
,Oklahoma ,"31,100","24,100","7,100","1,250",360,"38,400","33,600","4,800","1,740",250
,Oregon ,"61,900","49,600","12,300","2,510",610,"20,900","18,600","2,200",940,110
,Pennsylvania/f,"281,400","212,400","68,900","3,390","1,050","85,200","77,700","7,500","1,240",110
,Rhode Island ,"24,100","20,300","3,800","3,960",700,"3,400","3,200",200,630,30
,South Carolina ,"40,000","31,900","8,100","1,350",320,"31,900","29,100","2,800","1,230",110
,South Dakota ,"9,400","7,200","2,200","1,680",520,"5,100","4,500",600,"1,040",150
,Tennessee ,"76,400","57,900","18,600","1,810",550,"46,800","40,900","6,000","1,270",180
,Texas ,"496,900","381,700","115,100","2,820",840,"217,000","195,200","21,800","1,440",160
,Utah ,"15,300","11,700","3,600",780,250,"12,700","10,900","1,800",730,120
,Vermont ,"6,800","5,200","1,600","1,690",490,"2,000","1,800",200,590,50
,Virginia ,"56,700","43,500","13,200","1,060",310,"58,600","52,400","6,200","1,270",150
,Washington/f,"109,100","85,400","23,700","2,400",670,"30,900","27,400","3,500",770,100
,West Virginia/f,"9,900","7,200","2,800",790,290,"9,900","8,500","1,400",930,150
,Wisconsin ,"64,500","52,500","12,000","1,830",410,"34,600","31,500","3,100","1,100",110
,Wyoming ,"5,900","4,400","1,500","1,470",530,"3,800","3,300",500,"1,100",180
