Bureau of Justice Statistics,,,,,,,,,,,
File name:cpus15at03.csv,,,,,,,,,,,
"Appendix Table 3. Number and rate of persons supervised by U.S. adult correctional systems, by sex, correctional status, and jurisdiction, 2015",,,,,,,,,,,
"Report title: Correctional Populations in the United States 2015,  NCJ 250374",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Probation Survey, Annual Parole Survey, Deaths in Custody Reporting Program, and National Prisoner Statistics program, 2015; and U.S. Census Bureau, unpublished U.S. resident population estimates within jurisdiction, by sex, on January 1, 2016.",,,,,,,,,,,
"Author: Danielle Kaeble and Lauren Glaze, BJS Statisticians",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,,,
,,,,,,,,,,,
"Appendix Table 3. Number and rate of persons supervised by U.S. adult correctional systems, by sex, correctional status, and jurisdiction, 2015",,,,,,,,,,,
,,,,,,,,,,,
,,Community supervision ,,,,,Incarcerated/b,,,,
,,,Number,,"Rate per 100,000 U.S. residents of all ages/a",,Number,,,"Rate per 100,000  U.S. residents of all ages/a",
Jurisdiction,,Total/c,Male,Female,Male,Female,Total/d,Male ,Female,Male ,Female
,U.S. total,"4,650,900","3,594,300","1,056,700","2,260",640,"2,145,100","1,942,500","202,600","1,600",160
Federal/e,,"132,800","109,200","23,700",70,10,"195,700","182,800","12,900",150,10
State,,"4,518,100","3,485,100","1,033,000","2,190",630,"1,949,400","1,759,700","189,800","1,450",150
,Alabama ,"64,600","50,600","14,000","2,140",560,"42,900","38,600","4,300","1,640",170
,Alaska/f,"8,500","6,600","1,900","1,700",550,"5,400","4,800",600,"1,230",170
,Arizona ,"83,300","66,700","16,700","1,950",480,"54,900","49,100","5,800","1,440",170
,Arkansas ,"51,500","39,000","12,500","2,660",820,"24,000","21,200","2,800","1,450",180
,California/f,"349,600","277,500","72,100","1,420",360,"201,000","186,000","15,100",950,80
,Colorado ,"89,200","66,700","22,400","2,410",820,"31,800","28,000","3,800","1,010",140
,Connecticut ,"45,300","35,700","9,500","2,040",520,"15,800","14,700","1,100",840,60
,Delaware ,"16,100","12,400","3,700","2,690",760,"6,700","6,100",500,"1,330",110
,District of Columbia ,"9,900","8,500","1,400","2,640",400,"1,800","1,700",100,530,30
,Florida ,"225,400","167,000","58,400","1,670",560,"153,000","137,900","15,100","1,380",140
,Georgia/g,"451,800","353,600","98,200","7,060","1,870","88,500","79,600","8,900","1,590",170
,Hawaii ,"22,500","17,200","5,300","2,360",740,"5,900","5,200",700,710,100
,Idaho,"37,800","28,100","9,700","3,370","1,160","10,900","9,300","1,600","1,120",190
,Illinois/f,"151,300","118,200","33,100","1,870",510,"63,900","59,500","4,400",940,70
,Indiana/f,"122,500","93,100","29,400","2,850",870,"43,500","38,200","5,200","1,170",160
,Iowa ,"35,600","26,900","8,700","1,730",550,"12,900","11,500","1,400",740,90
,Kansas/f,"20,900","16,400","4,500","1,120",310,"16,600","14,800","1,800","1,010",130
,Kentucky ,"70,600","49,400","21,300","2,260",940,"33,800","28,700","5,100","1,310",230
,Louisiana ,"71,900","57,400","14,500","2,510",600,"49,000","45,400","3,600","1,980",150
,Maine ,"6,700","5,400","1,400",820,200,"4,000","3,500",500,540,70
,Maryland,"87,400","71,800","15,600","2,460",500,"29,700","27,800","1,900",950,60
,Massachusetts ,"66,900","52,600","14,300","1,590",410,"20,100","19,000","1,200",570,30
,Michigan ,"193,900","147,700","46,100","3,020",910,"57,700","53,100","4,600","1,090",90
,Minnesota ,"105,100","81,000","24,000","2,960",870,"16,500","14,800","1,600",540,60
,Mississippi,"44,800","35,500","9,300","2,440",600,"28,000","25,800","2,300","1,770",150
,Missouri,"62,600","47,600","15,000","1,590",480,"43,400","38,500","4,900","1,290",160
,Montana ,"9,700","7,400","2,300","1,430",440,"5,600","4,800",800,930,150
,Nebraska ,"13,700","10,000","3,700","1,050",390,"8,600","7,700",900,810,100
,Nevada ,"19,200","15,200","4,000","1,040",270,"19,100","16,800","2,300","1,150",160
,New Hampshire ,"6,300","4,900","1,400",750,210,"4,600","4,100",500,620,80
,New Jersey ,"151,300","117,700","33,700","2,690",730,"33,900","31,700","2,200",720,50
,New Mexico ,"16,800","12,600","4,200","1,210",400,"15,100","13,300","1,800","1,290",170
,New York ,"145,600","120,500","25,000","1,250",250,"75,900","71,100","4,800",740,50
,North Carolina ,"97,400","73,400","24,000","1,490",460,"53,800","48,800","5,000",990,100
,North Dakota ,"6,900","5,100","1,800","1,300",490,"3,200","2,700",400,690,120
,Ohio,"262,000","189,700","72,300","3,330","1,220","70,700","62,800","7,900","1,100",130
,Oklahoma ,"33,400","25,700","7,700","1,320",390,"39,700","34,400","5,300","1,770",270
,Oregonf,"61,900","49,600","12,300","2,470",600,"21,000","18,600","2,400",930,120
,Pennsylvania ,"296,200","223,500","72,700","3,560","1,110","83,900","76,300","7,600","1,220",120
,Rhode Island ,"24,400","20,600","3,800","4,010",690,"3,200","3,100",100,600,30
,South Carolina ,"38,500","30,500","8,000","1,280",320,"31,600","28,900","2,800","1,210",110
,South Dakota/f,"9,800","7,500","2,300","1,720",540,"5,300","4,600",800,"1,050",180
,Tennessee ,"75,400","57,100","18,300","1,770",540,"48,000","41,600","6,500","1,290",190
,Texas,"488,800","375,200","113,600","2,730",810,"214,800","192,500","22,300","1,400",160
,Utah ,"15,700","12,000","3,700",790,240,"11,700","10,100","1,600",660,110
,Vermont ,"6,300","4,800","1,500","1,550",470,"1,800","1,600",200,520,50
,Virginia ,"57,000","43,700","13,300","1,060",310,"57,300","51,000","6,300","1,230",150
,Washington,"104,700","81,600","23,200","2,260",640,"29,700","26,300","3,400",730,90
,West Virginia ,"10,100","7,300","2,800",800,300,"10,100","8,700","1,400",950,150
,Wisconsin,"65,600","52,700","12,900","1,830",440,"35,000","31,800","3,100","1,110",110
,Wyoming ,"5,900","4,300","1,600","1,450",550,"3,900","3,400",600,"1,130",200
"Note: Counts were rounded to the nearest 100, and rates were rounded to the nearest 10. Detail may not sum to total due to rounding and because offenders with multiple correctional statuses were excluded from totals. Counts include estimates for nonresponding jurisdictions. See Methodology. ",,,,,,,,,,,
"a/Rates were computed using the U.S state resident population of all ages, by sex. U.S. resident populations of persons age 18 or older were not available by sex at the time this report was published. For this reason, jurisdiction-level rates in other tables of this report may not be comparable to the rates in this table.",,,,,,,,,,,
"b/Total correctional population and total number in prison and jail include local jail counts that are based on December 31, 2015 in order to produce jurisdiction-level estimates. For this reason, excluding appendix tables 1, 2, and 4, the estimates in this table differ from the national estimates presented in other tables and figures in this report. See Methodology.",,,,,,,,,,,
"c/Excludes, by jurisdiction, an estimated 9,400 parolees on probation. See table 5. ",,,,,,,,,,,
"d/Excludes, by jurisdiction, an estimated 81,200 prisoners held in local jails. See table 5.",,,,,,,,,,,
